Data,Hora,Objeto,Confiança
2025-03-07,17:56:16.945239,chair,0.26
2025-03-07,17:56:16.945239,chair,0.37
2025-03-07,17:56:16.945239,chair,0.39
2025-03-07,17:56:16.945239,chair,0.29
2025-03-07,17:56:16.945239,chair,0.30
2025-03-07,17:56:16.945239,chair,0.28
2025-03-07,17:56:16.945239,chair,0.49
2025-03-07,17:56:16.945239,chair,0.48
2025-03-07,17:56:16.945239,chair,0.42
2025-03-07,17:56:16.945239,chair,0.24
2025-03-07,17:56:16.945239,chair,0.21
2025-03-07,17:56:16.945239,chair,0.21
2025-03-07,17:56:16.945239,chair,0.41
2025-03-07,17:56:16.945239,chair,0.48
2025-03-07,17:56:16.945239,chair,0.23
2025-03-07,17:56:16.945239,chair,0.20
2025-03-07,17:56:16.945239,chair,0.23
2025-03-07,17:56:16.945239,chair,0.37
2025-03-07,17:56:16.945239,chair,0.61
2025-03-07,17:56:16.945239,chair,0.70
2025-03-07,17:56:16.945239,chair,0.33
2025-03-07,17:56:16.945239,chair,0.67
2025-03-07,17:56:16.945239,bottle,0.30
2025-03-07,17:56:16.945239,bottle,0.25
2025-03-07,17:56:16.945239,bottle,0.51
2025-03-07,17:56:16.945239,bottle,0.46
2025-03-07,17:56:16.945239,bottle,0.38
2025-03-07,17:56:16.945239,bottle,0.28
2025-03-07,17:56:16.945239,chair,0.49
2025-03-07,17:56:16.945239,remote,0.73
2025-03-07,17:56:16.945239,remote,0.71
2025-03-07,17:56:16.945239,remote,0.73
2025-03-07,17:56:16.945239,mouse,0.38
2025-03-07,17:56:16.945239,mouse,0.40
2025-03-07,17:56:16.945239,mouse,0.34
2025-03-07,17:56:16.945239,chair,0.42
2025-03-07,17:56:16.945239,chair,0.21
2025-03-07,17:56:16.945239,chair,0.53
2025-03-07,17:56:16.945239,chair,0.52
2025-03-07,17:56:16.945239,chair,0.47
2025-03-07,17:56:16.945239,chair,0.24
2025-03-07,17:56:16.945239,chair,0.24
2025-03-07,17:56:16.945239,chair,0.42
2025-03-07,17:56:16.945239,chair,0.42
2025-03-07,17:56:16.945239,chair,0.24
2025-03-07,17:56:16.945239,chair,0.91
2025-03-07,17:56:16.945239,chair,0.89
